route,date,daytype,rides
10,01/01/2014,U,585
1001,01/01/2014,U,103
103,01/01/2014,U,883
106,01/01/2014,U,190
11,01/01/2014,U,439
111,01/01/2014,U,1235
111A,01/01/2014,U,79
112,01/01/2014,U,508
115,01/01/2014,U,1264
119,01/01/2014,U,1892
12,01/01/2014,U,4761
124,01/01/2014,U,965
126,01/01/2014,U,1739
146,01/01/2014,U,6603
147,01/01/2014,U,4643
15,01/01/2014,U,2808
151,01/01/2014,U,9230
152,01/01/2014,U,2008
155,01/01/2014,U,2866
171,01/01/2014,U,138
172,01/01/2014,U,105
18,01/01/2014,U,1144
20,01/01/2014,U,5966
21,01/01/2014,U,2633
22,01/01/2014,U,9083
28,01/01/2014,U,1896
29,01/01/2014,U,5698
3,01/01/2014,U,5873
30,01/01/2014,U,497
34,01/01/2014,U,2027
35,01/01/2014,U,1538
36,01/01/2014,U,8202
4,01/01/2014,U,8137
43,01/01/2014,U,419
44,01/01/2014,U,1071
47,01/01/2014,U,3529
49,01/01/2014,U,8720
49B,01/01/2014,U,1887
5,01/01/2014,U,367
50,01/01/2014,U,2829
51,01/01/2014,U,474
52,01/01/2014,U,3924
52A,01/01/2014,U,798
53,01/01/2014,U,7338
53A,01/01/2014,U,1318
54,01/01/2014,U,4156
54B,01/01/2014,U,1171
55,01/01/2014,U,4557
56,01/01/2014,U,2358
57,01/01/2014,U,1124
6,01/01/2014,U,5096
60,01/01/2014,U,2663
62,01/01/2014,U,3680
63,01/01/2014,U,7449
63W,01/01/2014,U,344
65,01/01/2014,U,2903
66,01/01/2014,U,9228
67,01/01/2014,U,4982
68,01/01/2014,U,261
70,01/01/2014,U,3122
71,01/01/2014,U,4037
72,01/01/2014,U,5861
73,01/01/2014,U,911
74,01/01/2014,U,4359
75,01/01/2014,U,3029
76,01/01/2014,U,3131
77,01/01/2014,U,6987
78,01/01/2014,U,2286
79,01/01/2014,U,11450
8,01/01/2014,U,5949
80,01/01/2014,U,4194
81,01/01/2014,U,4988
81W,01/01/2014,U,373
82,01/01/2014,U,5697
84,01/01/2014,U,844
85,01/01/2014,U,3820
87,01/01/2014,U,3997
88,01/01/2014,U,275
8A,01/01/2014,U,1283
9,01/01/2014,U,9761
90,01/01/2014,U,1287
91,01/01/2014,U,1727
92,01/01/2014,U,1921
94,01/01/2014,U,2369
95E,01/01/2014,U,1483
95W,01/01/2014,U,1317
97,01/01/2014,U,985
J14,01/01/2014,U,2663
1,01/02/2014,W,1613
10,01/02/2014,W,526
100,01/02/2014,W,344
1001,01/02/2014,W,41
103,01/02/2014,W,1469
106,01/02/2014,W,717
108,01/02/2014,W,641
11,01/02/2014,W,1046
111,01/02/2014,W,1892
111A,01/02/2014,W,62
112,01/02/2014,W,953
115,01/02/2014,W,2163
119,01/02/2014,W,3042
12,01/02/2014,W,9414
120,01/02/2014,W,909
121,01/02/2014,W,1252
124,01/02/2014,W,783
125,01/02/2014,W,1280
126,01/02/2014,W,3529
132,01/02/2014,W,258
134,01/02/2014,W,2608
135,01/02/2014,W,2959
136,01/02/2014,W,1637
143,01/02/2014,W,1451
146,01/02/2014,W,11921
147,01/02/2014,W,10219
148,01/02/2014,W,1783
15,01/02/2014,W,3807
151,01/02/2014,W,14889
152,01/02/2014,W,6225
155,01/02/2014,W,5311
156,01/02/2014,W,6833
157,01/02/2014,W,3226
165,01/02/2014,W,66
169,01/02/2014,W,135
170,01/02/2014,W,348
171,01/02/2014,W,738
172,01/02/2014,W,925
18,01/02/2014,W,2360
19,01/02/2014,W,451
192,01/02/2014,W,631
2,01/02/2014,W,1941
20,01/02/2014,W,12900
201,01/02/2014,W,1357
205,01/02/2014,W,604
206,01/02/2014,W,298
21,01/02/2014,W,5018
22,01/02/2014,W,16133
24,01/02/2014,W,1819
26,01/02/2014,W,2078
28,01/02/2014,W,4484
29,01/02/2014,W,8778
3,01/02/2014,W,12731
30,01/02/2014,W,1668
34,01/02/2014,W,3282
35,01/02/2014,W,2999
36,01/02/2014,W,12154
37,01/02/2014,W,1330
39,01/02/2014,W,1261
4,01/02/2014,W,13904
43,01/02/2014,W,1142
44,01/02/2014,W,2379
47,01/02/2014,W,6583
48,01/02/2014,W,565
49,01/02/2014,W,16374
49B,01/02/2014,W,3762
5,01/02/2014,W,366
50,01/02/2014,W,7585
51,01/02/2014,W,944
52,01/02/2014,W,7964
52A,01/02/2014,W,2897
53,01/02/2014,W,12585
53A,01/02/2014,W,4099
54,01/02/2014,W,7858
54A,01/02/2014,W,584
54B,01/02/2014,W,2202
55,01/02/2014,W,7002
55A,01/02/2014,W,190
55N,01/02/2014,W,366
56,01/02/2014,W,7272
57,01/02/2014,W,2703
59,01/02/2014,W,2245
6,01/02/2014,W,8005
60,01/02/2014,W,6825
62,01/02/2014,W,6546
62H,01/02/2014,W,637
63,01/02/2014,W,10655
63W,01/02/2014,W,856
65,01/02/2014,W,6463
66,01/02/2014,W,19170
67,01/02/2014,W,7530
68,01/02/2014,W,873
7,01/02/2014,W,3294
70,01/02/2014,W,6448
71,01/02/2014,W,5756
72,01/02/2014,W,11806
73,01/02/2014,W,3559
74,01/02/2014,W,9056
75,01/02/2014,W,4849
76,01/02/2014,W,8927
77,01/02/2014,W,16423
78,01/02/2014,W,6370
79,01/02/2014,W,17360
8,01/02/2014,W,14207
80,01/02/2014,W,9542
81,01/02/2014,W,9067
81W,01/02/2014,W,1384
82,01/02/2014,W,11278
84,01/02/2014,W,2533
85,01/02/2014,W,6761
85A,01/02/2014,W,697
86,01/02/2014,W,908
87,01/02/2014,W,7743
88,01/02/2014,W,822
8A,01/02/2014,W,1834
9,01/02/2014,W,17774
90,01/02/2014,W,3516
91,01/02/2014,W,4320
92,01/02/2014,W,4265
93,01/02/2014,W,2038
94,01/02/2014,W,5950
95E,01/02/2014,W,2286
95W,01/02/2014,W,1561
96,01/02/2014,W,566
97,01/02/2014,W,2205
J14,01/02/2014,W,8070
X98,01/02/2014,W,14
1,01/03/2014,W,1620
10,01/03/2014,W,407
100,01/03/2014,W,394
1001,01/03/2014,W,14
103,01/03/2014,W,1620
106,01/03/2014,W,827
108,01/03/2014,W,827
11,01/03/2014,W,1155
111,01/03/2014,W,2508
111A,01/03/2014,W,134
112,01/03/2014,W,1448
115,01/03/2014,W,2501
119,01/03/2014,W,3682
12,01/03/2014,W,10871
120,01/03/2014,W,929
121,01/03/2014,W,1233
124,01/03/2014,W,882
125,01/03/2014,W,1472
126,01/03/2014,W,4782
132,01/03/2014,W,243
134,01/03/2014,W,2949
135,01/03/2014,W,3378
136,01/03/2014,W,1820
143,01/03/2014,W,1514
146,01/03/2014,W,12119
147,01/03/2014,W,10680
148,01/03/2014,W,2039
15,01/03/2014,W,5316
151,01/03/2014,W,16098
152,01/03/2014,W,6498
155,01/03/2014,W,5658
156,01/03/2014,W,7444
157,01/03/2014,W,3433
165,01/03/2014,W,110
169,01/03/2014,W,104
170,01/03/2014,W,450
171,01/03/2014,W,856
172,01/03/2014,W,1160
18,01/03/2014,W,2861
192,01/03/2014,W,630
2,01/03/2014,W,2340
20,01/03/2014,W,15454
201,01/03/2014,W,1445
205,01/03/2014,W,563
206,01/03/2014,W,260
21,01/03/2014,W,6707
22,01/03/2014,W,18140
24,01/03/2014,W,2165
26,01/03/2014,W,2263
28,01/03/2014,W,5698
29,01/03/2014,W,10661
3,01/03/2014,W,14719
30,01/03/2014,W,1898
34,01/03/2014,W,3893
35,01/03/2014,W,3971
36,01/03/2014,W,13119
37,01/03/2014,W,1399
39,01/03/2014,W,1399
4,01/03/2014,W,17377
43,01/03/2014,W,1311
44,01/03/2014,W,2844
47,01/03/2014,W,7913
48,01/03/2014,W,695
49,01/03/2014,W,19679
49B,01/03/2014,W,4452
5,01/03/2014,W,429
50,01/03/2014,W,7964
51,01/03/2014,W,1072
52,01/03/2014,W,8758
52A,01/03/2014,W,3043
53,01/03/2014,W,15519
53A,01/03/2014,W,4431
54,01/03/2014,W,9143
54A,01/03/2014,W,631
54B,01/03/2014,W,2349
55,01/03/2014,W,8192
55A,01/03/2014,W,190
55N,01/03/2014,W,319
56,01/03/2014,W,8047
57,01/03/2014,W,3307
59,01/03/2014,W,2542
6,01/03/2014,W,8738
60,01/03/2014,W,7947
62,01/03/2014,W,7923
62H,01/03/2014,W,603
63,01/03/2014,W,13080
63W,01/03/2014,W,997
65,01/03/2014,W,6759
66,01/03/2014,W,21796
67,01/03/2014,W,9443
68,01/03/2014,W,790
7,01/03/2014,W,3593
70,01/03/2014,W,7404
71,01/03/2014,W,6690
72,01/03/2014,W,12732
73,01/03/2014,W,3726
74,01/03/2014,W,10435
75,01/03/2014,W,5769
76,01/03/2014,W,10436
77,01/03/2014,W,18308
78,01/03/2014,W,6832
79,01/03/2014,W,20240
8,01/03/2014,W,15040
80,01/03/2014,W,10546
81,01/03/2014,W,10562
81W,01/03/2014,W,1227
82,01/03/2014,W,13835
84,01/03/2014,W,2868
85,01/03/2014,W,8197
85A,01/03/2014,W,716
86,01/03/2014,W,1081
87,01/03/2014,W,9820
88,01/03/2014,W,893
8A,01/03/2014,W,2269
9,01/03/2014,W,21639
90,01/03/2014,W,3851
91,01/03/2014,W,5315
92,01/03/2014,W,5113
93,01/03/2014,W,2434
94,01/03/2014,W,6620
95E,01/03/2014,W,2791
95W,01/03/2014,W,2058
96,01/03/2014,W,607
97,01/03/2014,W,2749
J14,01/03/2014,W,9147
X98,01/03/2014,W,8
10,01/04/2014,A,452
1001,01/04/2014,A,5
103,01/04/2014,A,1113
106,01/04/2014,A,497
11,01/04/2014,A,818
111,01/04/2014,A,1727
111A,01/04/2014,A,147
112,01/04/2014,A,889
115,01/04/2014,A,1655
119,01/04/2014,A,2798
12,01/04/2014,A,7422
124,01/04/2014,A,845
126,01/04/2014,A,2394
146,01/04/2014,A,9142
147,01/04/2014,A,8432
15,01/04/2014,A,4238
151,01/04/2014,A,13959
152,01/04/2014,A,3903
155,01/04/2014,A,5091
169,01/04/2014,A,34
171,01/04/2014,A,169
172,01/04/2014,A,279
18,01/04/2014,A,2271
19,01/04/2014,A,260
20,01/04/2014,A,9845
201,01/04/2014,A,964
21,01/04/2014,A,5523
22,01/04/2014,A,15707
28,01/04/2014,A,3145
29,01/04/2014,A,7779
3,01/04/2014,A,10659
30,01/04/2014,A,1611
34,01/04/2014,A,3267
35,01/04/2014,A,2365
36,01/04/2014,A,13900
4,01/04/2014,A,11793
43,01/04/2014,A,851
44,01/04/2014,A,1735
47,01/04/2014,A,6450
49,01/04/2014,A,14680
49B,01/04/2014,A,2903
5,01/04/2014,A,425
50,01/04/2014,A,5628
51,01/04/2014,A,862
52,01/04/2014,A,6459
52A,01/04/2014,A,1923
53,01/04/2014,A,10986
53A,01/04/2014,A,2646
54,01/04/2014,A,7459
54B,01/04/2014,A,2353
55,01/04/2014,A,6378
55N,01/04/2014,A,119
56,01/04/2014,A,5119
57,01/04/2014,A,2159
59,01/04/2014,A,1709
6,01/04/2014,A,7813
60,01/04/2014,A,4666
62,01/04/2014,A,5403
62H,01/04/2014,A,449
63,01/04/2014,A,9736
63W,01/04/2014,A,522
65,01/04/2014,A,3639
66,01/04/2014,A,12699
67,01/04/2014,A,7319
68,01/04/2014,A,508
70,01/04/2014,A,5491
71,01/04/2014,A,6007
72,01/04/2014,A,10639
73,01/04/2014,A,1747
74,01/04/2014,A,7949
75,01/04/2014,A,4551
76,01/04/2014,A,6848
77,01/04/2014,A,13346
78,01/04/2014,A,4442
79,01/04/2014,A,16325
8,01/04/2014,A,10904
80,01/04/2014,A,7481
81,01/04/2014,A,8162
81W,01/04/2014,A,770
82,01/04/2014,A,9366
84,01/04/2014,A,1748
85,01/04/2014,A,5726
85A,01/04/2014,A,295
87,01/04/2014,A,7920
88,01/04/2014,A,559
8A,01/04/2014,A,1892
9,01/04/2014,A,16121
90,01/04/2014,A,3196
91,01/04/2014,A,3336
92,01/04/2014,A,3384
93,01/04/2014,A,1240
94,01/04/2014,A,4121
95E,01/04/2014,A,2060
95W,01/04/2014,A,1687
97,01/04/2014,A,1633
J14,01/04/2014,A,4803
10,01/05/2014,U,295
1001,01/05/2014,U,59
103,01/05/2014,U,760
106,01/05/2014,U,167
11,01/05/2014,U,478
111,01/05/2014,U,1155
111A,01/05/2014,U,54
112,01/05/2014,U,423
115,01/05/2014,U,1162
119,01/05/2014,U,1729
12,01/05/2014,U,4111
124,01/05/2014,U,309
126,01/05/2014,U,1464
146,01/05/2014,U,5719
147,01/05/2014,U,4240
15,01/05/2014,U,2367
151,01/05/2014,U,6888
152,01/05/2014,U,2356
155,01/05/2014,U,2851
171,01/05/2014,U,399
172,01/05/2014,U,154
18,01/05/2014,U,1599
19,01/05/2014,U,350
20,01/05/2014,U,5349
21,01/05/2014,U,2502
22,01/05/2014,U,10289
28,01/05/2014,U,1468
29,01/05/2014,U,3915
3,01/05/2014,U,4853
30,01/05/2014,U,336
34,01/05/2014,U,1583
35,01/05/2014,U,1480
36,01/05/2014,U,8857
4,01/05/2014,U,6401
43,01/05/2014,U,395
44,01/05/2014,U,833
47,01/05/2014,U,3522
49,01/05/2014,U,8910
49B,01/05/2014,U,2011
5,01/05/2014,U,337
50,01/05/2014,U,3358
51,01/05/2014,U,515
52,01/05/2014,U,3713
52A,01/05/2014,U,819
53,01/05/2014,U,7357
53A,01/05/2014,U,1319
54,01/05/2014,U,4104
54B,01/05/2014,U,1035
55,01/05/2014,U,4225
56,01/05/2014,U,2835
57,01/05/2014,U,1355
6,01/05/2014,U,4292
60,01/05/2014,U,2872
62,01/05/2014,U,3381
63,01/05/2014,U,6403
63W,01/05/2014,U,316
65,01/05/2014,U,1909
66,01/05/2014,U,8084
67,01/05/2014,U,3903
68,01/05/2014,U,265
70,01/05/2014,U,3473
71,01/05/2014,U,3457
72,01/05/2014,U,6491
73,01/05/2014,U,1158
74,01/05/2014,U,4787
75,01/05/2014,U,2565
76,01/05/2014,U,3843
77,01/05/2014,U,8403
78,01/05/2014,U,2742
79,01/05/2014,U,9310
8,01/05/2014,U,5869
80,01/05/2014,U,4691
81,01/05/2014,U,5614
81W,01/05/2014,U,389
82,01/05/2014,U,5409
84,01/05/2014,U,958
85,01/05/2014,U,3060
87,01/05/2014,U,3613
88,01/05/2014,U,291
8A,01/05/2014,U,790
9,01/05/2014,U,8621
90,01/05/2014,U,1403
91,01/05/2014,U,1924
92,01/05/2014,U,2042
94,01/05/2014,U,2479
95E,01/05/2014,U,1185
95W,01/05/2014,U,1165
97,01/05/2014,U,1214
J14,01/05/2014,U,2116
1,01/06/2014,W,758
100,01/06/2014,W,179
1001,01/06/2014,W,14
103,01/06/2014,W,716
106,01/06/2014,W,384
108,01/06/2014,W,357
11,01/06/2014,W,465
111,01/06/2014,W,1142
111A,01/06/2014,W,34
112,01/06/2014,W,607
115,01/06/2014,W,1223
119,01/06/2014,W,1655
12,01/06/2014,W,5499
120,01/06/2014,W,270
121,01/06/2014,W,382
124,01/06/2014,W,286
125,01/06/2014,W,397
126,01/06/2014,W,1789
132,01/06/2014,W,94
134,01/06/2014,W,1277
135,01/06/2014,W,1602
136,01/06/2014,W,946
143,01/06/2014,W,687
146,01/06/2014,W,4534
147,01/06/2014,W,5056
148,01/06/2014,W,868
15,01/06/2014,W,2425
151,01/06/2014,W,6778
152,01/06/2014,W,2900
155,01/06/2014,W,2823
156,01/06/2014,W,3149
157,01/06/2014,W,1505
165,01/06/2014,W,35
169,01/06/2014,W,59
170,01/06/2014,W,16
171,01/06/2014,W,178
172,01/06/2014,W,342
18,01/06/2014,W,1370
192,01/06/2014,W,210
2,01/06/2014,W,677
20,01/06/2014,W,7665
201,01/06/2014,W,611
205,01/06/2014,W,275
206,01/06/2014,W,108
21,01/06/2014,W,2807
22,01/06/2014,W,7938
24,01/06/2014,W,876
